"Ely, R A - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Ely, S H - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Erwin, C H - Age [Blank], Year: 1864 - First Cavalry, E-J"
"Erwin, Hugh - Age 17, Year: 1863 - First Cavalry, E-J"
"Eskridge, W C - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Estell, C L - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Estill, C L - Age 20, Year: 1865 - First Cavalry, E-J"
"Eubank, W J - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Eubanks, F A - Age [Blank], Year: 1861 - First Cavalry, E-J"
"Eufanks, F A - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Eubanks, William J - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Evans, John H - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Ewing, C W - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Ewing, J C - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Ewelling, R P - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Ewling, R P - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Fahrenback, L - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Fairforce, J W - Age [Blank], Year: 1864 - First Cavalry, E-J"
"Falkner, J W - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Fancher, F B - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Fancher, J P - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Fancher, J R - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Fancher, N F B - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Fant, Abner A - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Fant, Augustus Abner - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Farrar, Charles C - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Farrow, W L - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Faulkner, James W - Age 28, Year: 1863 - First Cavalry, E-J"
"Faulkner, Kelley - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Faulkner, W - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Feemster, S K - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Fegua, A A - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Ferrell, Hubbard H - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Ferrell, J H - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Ferrell, R W - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Ferrell, W A - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Fitch, Lewis Phlip - Age 18, Year: 1865 - First Cavalry, E-J"
"Flaherty, Thomas - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Flanagan, R J - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Flanagan, Wm - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Flanagan, W A - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Flannigan, Richard J - Age 22, Year: 1862 - First Cavalry, E-J"
"Flannigan, William A - Age 20, Year: 1862 - First Cavalry, E-J"
"Fleming, Joseph - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Flemming, Joseph - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Fletcher, Davis H - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Fletcher, I E - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Flipping, John J - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Flipping, John Neal - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Flowers, John E - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Flowers, W R - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Flynn, William - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Fontaine, Henry - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Foot, Henry - Age [Blank], Year: 1864 - First Cavalry, E-J"
"Foote, Henry D - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Foote, H W - Age [Blank], Year: 1861 - First Cavalry, E-J"
"Foote, William H - Age [Blank], Year: 1861 - First Cavalry, E-J"
"Ford, Robert - Age [Blank], Year: 1864 - First Cavalry, E-J"
"Ford, Thomas - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Forrest, Robert - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Foster, John Thomas - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Foster, T J - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Fountaine, Henry - Age [Blank], Year: 1864 - First Cavalry, E-J"
"Fowler, J C - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Fowler, P B - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Fowler, R H - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Fowler, W H - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Fowler, Y B - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Frank, Theadore - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Freeman, Bailey - Age 29, Year: 1862 - First Cavalry, E-J"
"Freeman, Bradly - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Freeman, E B - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Freeman, R M - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Freeman, W W - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Fretwell, J C - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Fretwell, J O - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Frost, J J - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Fullilove, A B - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Fullilove, J W - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Fulyham, H B - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Fuqua, Armstead A - Age 25, Year: 1862 - First Cavalry, E-J"
"Gafford, William R - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Gage, John - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Gaines, J W - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Gains, John W - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Gains, J W - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Galeston, Jackson - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Gullespie, Lucullie - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Ganmell, C H - Age [Blank], Year: 1864 - First Cavalry, E-J"
"Gannon, M M - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Garman, A P - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Garman, J P - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Garman, W W - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Garmon, A P - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Garmon, M M - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Garrett, E C - Age [Blank], Year: 1864 - First Cavalry, E-J"
"Garrett, E H - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Garrett, J - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Garrett, Jessie - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Garrett, J W - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Garrett, Wm C - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Garrett, W L - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Gary, Charles F - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Gassaway, John W - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Gatlin, John H - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Gatting, J H - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Gatlin, Joshua - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Gatling, J H - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Gattis, T B - Age 27, Year: 1862 - First Cavalry, E-J"
"Gattis, W A - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Gavin, A H - Age [Blank], Year: 1861 - First Cavalry, E-J"
"Gavin, George P - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Gavin, Robert - Age [Blank], Year: 1861 - First Cavalry, E-J"
"Gentry, John - Age [Blank], Year: 1864 - First Cavalry, E-J"
"George, J W - Age [Blank], Year: 1861 - First Cavalry, E-J"
"George, James W - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Gholson, Jason L - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Gholson, W D - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Gholson, D W - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Gideon, J W - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Gideon, W W - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Gideon, Word - Age [Blank], Year: 1864 - First Cavalry, E-J"
"Gifford, John R - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Gifford, J R - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Giles, James - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Gill, John W - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Gill, Joseph D - Age 27, Year: 1861 - First Cavalry, E-J"
"Gill, Richd G - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Gill, Richard G - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Gill, Samuel - Age [Blank], Year: 1864 - First Cavalry, E-J"
"Gill, William G - Age 24, Year: 1861 - First Cavalry, E-J"
"Gill, W M - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Gilmer, James W - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Gilmer, J W - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Gilmer, R A - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Gilmore, Julian A - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Gilmore, J A - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Glasgow, P P - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Glass, A P - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Glass, E - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Glass, E R P - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Glass, James A - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Glass, J C - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Glass, William - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Glassin, J H - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Gleison, J H - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Glisen, J H - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Glisen, James Henry - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Goad, T D - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Goldston, Jackson - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Golson, Jackson - Age [Blank], Year: 1864 - First Cavalry, E-J"
"Golson, J L - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Golstein, Jackson - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Golsten, Jackson - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Goach, S D - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Goock, S D - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Goode, Frederick W - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Goodman, Samuel - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Goodrich, H - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Goodrich, L B - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Goodwin, G H - Age [Blank], Year: 1864 - First Cavalry, E-J"
"Goodwin, Thomas J - Age [Blank], Year: 1861 - First Cavalry, E-J"
"Goodwin, Warrick - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Goodwin, Y W - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Gorman, A P - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Gorman, John P - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Gorman, M M - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Goslin, Jackson - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Gosset, S - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Gosset, William C - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Gossitt, William C - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Graham, H L - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Graham, Leonidas O - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Graham, Thomas - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Graham, William - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Grant, E M - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Grant, F C - Age 26, Year: 1862 - First Cavalry, E-J"
"Grant, John A - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Grant, J M - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Grant, John - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Grantham, Daniel - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Grantham, Harry - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Grantham, J F - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Grantham, S H - Age [Blank], Year: 1864 - First Cavalry, E-J"
"Gray, Isaac - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Gray, James - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Gray, James T - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Gray, Thomas - Age 28, Year: 1861 - First Cavalry, E-J"
"Grey, Thomas - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Grayham, J A - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Grayham, Neil - Age 18, Year: 1862 - First Cavalry, E-J"
"Greene, William - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Greenlee, Alson - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Greenwood, J E - Age 30, Year: 1862 - First Cavalry, E-J"
"Greer, Alonzo - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Greer, Felix B - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Greer, Fred J - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Greer, James - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Greer, Jas H - Age [Blank], Year: 1864 - First Cavalry, E-J"
"Greer, J Henry - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Greer, John H - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Greer, Jules A - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Gregory, George W - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Gresham, Joe - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Griffice, John L - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Griffice, J T - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Griffin, Arasmas A - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Griffin, Erasmus - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Griffin, F T - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Griffin, Jahu A - Age [Blank], Year: 1864 - First Cavalry, E-J"
"Griffin, J C - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Griffin, Jahu - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Griffin, John - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Griffin, John T - Age 26, Year: 1864 - First Cavalry, E-J"
"Griffin, T T - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Griffin, W D - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Griffis, James L - Age 18, Year: 1864 - First Cavalry, E-J"
"Grisham, Joseph - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Groos, George W - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Groos, Jerry W - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Groos, G W - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Gruber, J W - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Guess, John B - Age 24, Year: 1861 - First Cavalry, E-J"
"Guest, J M - Age [Blank], Year: 1864 - First Cavalry, E-J"
"Guest, John B - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Gulick, J D - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Gullick, A Mc D - Age 26, Year: 1862 - First Cavalry, E-J"
"Gullick, J D - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hailey, Daniel D - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Haines, J W - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Hair, John W - Age 20, Year: 1861 - First Cavalry, E-J"
"Hairston, S J - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Halcomb, E B - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Halcomb, H W - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Halcumb, James - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Hale, D S - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hale, J C - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Haley, Andrew - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Haley, Daniel D - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Hall, David J - Age 33, Year: 1862 - First Cavalry, E-J"
"Hall, James Layfettet - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Hall, John B - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Hall, R B - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Hall, Richard - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Hall, Robert - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Halton, P M - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Hamblin, Robbert B - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hamblin, Robert B - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Hames, G W - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Hamilton, John - Age [Blank], Year: 1864 - First Cavalry, E-J"
"Hamilton, James P - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hamilton, R L - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hamilton, S G - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hamilton, T - Age [Blank], Year: 1864 - First Cavalry, E-J"
"Hamilton, T T - Age [Blank], Year: 1864 - First Cavalry, E-J"
"Hamilton, Wm R - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hamlet, Stephen B - Age 31, Year: 1862 - First Cavalry, E-J"
"Hamlin, R B - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Hammond, David - Age [Blank], Year: 1864 - First Cavalry, E-J"
"Hampton, J G - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Hampton, May - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Hanes, G W - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Hanes, H C - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Happen, T W - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hardie, Theophilus B - Age 31, Year: 1861 - First Cavalry, E-J"
"Harding, A H - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Hardy, Ben - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hardy, John E - Age 24, Year: 1862 - First Cavalry, E-J"
"Hardy, Lewis H - Age 17, Year: 1864 - First Cavalry, E-J"
"Hare, William B - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Harling, A - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Harling, Elbert - Age 23, Year: 1865 - First Cavalry, E-J"
"Harmon, E - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Harmon, J E - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Harper, A C - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Harper, Charles E - Age 20, Year: 1862 - First Cavalry, E-J"
"Harper, J C - Age [Blank], Year: 1864 - First Cavalry, E-J"
"Harper, Lucius S - Age 22, Year: 1862 - First Cavalry, E-J"
"Harper, O W - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Harper, R H - Age [Blank], Year: 1861 - First Cavalry, E-J"
"Harper, S A - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Harrell, G B - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Harris, A F - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Harris, John W - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Harris, Nathaniel - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Harris, Newton F - Age 25, Year: 1863 - First Cavalry, E-J"
"Harris, N L - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Harris, Noah - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Harris, N S - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Harris, S - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Harris, S N - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Harris, S R - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Harris, V F - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Harris, William - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Harrison, A T - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Harrisons, W H - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Harrod, William - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Harrod, Wm M - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Harron, W M - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Hart, M - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Hartley, J C - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Hartly, S B - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Harvey, G G - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hatten, B M - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Hatten, Pat McMahon - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Hattier, Charles - Age 18, Year: 1863 - First Cavalry, E-J"
"Hattin, Charles - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Hatton, Patrick M - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hatton, P M - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Hayes, Elias - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Haynes, A S - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Haynes, H C - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Haynes, James M - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Haynes, Thomas J - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Haynes, W H - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Haynes, William - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Haze, Elias - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Heagher, G W - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Hearn, G L - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hearn, J A - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Heath, James - Age 24, Year: 1862 - First Cavalry, E-J"
"Heavie, J L - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Heiway, F E - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Hellmay, A C - Age 38, Year: 1862 - First Cavalry, E-J"
"Hellmus, R F - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hellmus, R C - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Hellums, R F - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Henderson, James M - Age 23, Year: 1862 - First Cavalry, E-J"
"Henderson, R H C - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Henderson, W J - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hendley, G H - Age [Blank], Year: 1864 - First Cavalry, E-J"
"Henly, G H - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Henry, J H - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Henry, John - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Hernbroad, Conrad - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Herndon, H O - Age [Blank], Year: 1862 - First Cavalry, E-J"
